Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4066.01, Los Angeles County, California",406601,West Covina,1400000US06037406601,"(34.0557305, -117.916683)",Drinking_Water_Contaminants_2017_1400000US06037406601,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4066.02, Los Angeles County, California",406602,West Covina,1400000US06037406602,"(34.0548195, -117.934636)",Drinking_Water_Contaminants_2017_1400000US06037406602,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4067.01, Los Angeles County, California",406701,West Covina,1400000US06037406701,"(34.0554275, -117.9462745)",Drinking_Water_Contaminants_2017_1400000US06037406701,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4067.02, Los Angeles County, California",406702,West Covina,1400000US06037406702,"(34.0638995, -117.9353755)",Drinking_Water_Contaminants_2017_1400000US06037406702,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,824.7285161,"Census Tract 4068, Los Angeles County, California",406800,West Covina,1400000US06037406800,"(34.0629195, -117.953793)",Drinking_Water_Contaminants_2017_1400000US06037406800,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,872.1226324,"Census Tract 4069.01, Los Angeles County, California",406901,West Puente Valley,1400000US06037406901,"(34.0590435, -117.968603)",Drinking_Water_Contaminants_2017_1400000US06037406901,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,868.8067757,"Census Tract 4069.02, Los Angeles County, California",406902,West Puente Valley,1400000US06037406902,"(34.056693, -117.964561)",Drinking_Water_Contaminants_2017_1400000US06037406902,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,782.3591962,"Census Tract 4070.01, Los Angeles County, California",407001,West Puente Valley,1400000US06037407001,"(34.060681, -117.978103)",Drinking_Water_Contaminants_2017_1400000US06037407001,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,782.3591962,"Census Tract 4070.02, Los Angeles County, California",407002,Industry,1400000US06037407002,"(34.053581, -117.992902)",Drinking_Water_Contaminants_2017_1400000US06037407002,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,868.5282326,"Census Tract 4071.01, Los Angeles County, California",407101,La Puente,1400000US06037407101,"(34.047535, -117.972437)",Drinking_Water_Contaminants_2017_1400000US06037407101,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,867.4181644,"Census Tract 4071.02, Los Angeles County, California",407102,La Puente,1400000US06037407102,"(34.0437405, -117.976774)",Drinking_Water_Contaminants_2017_1400000US06037407102,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,814.3452827,"Census Tract 4072, Los Angeles County, California",407200,La Puente,1400000US06037407200,"(34.0334615, -117.9610665)",Drinking_Water_Contaminants_2017_1400000US06037407200,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4073.01, Los Angeles County, California",407301,West Puente Valley,1400000US06037407301,"(34.0454965, -117.9587185)",Drinking_Water_Contaminants_2017_1400000US06037407301,1/1/17
